x,y
0.049469,0
0.049469,0
2.0093,0.79616
2.0183,0.64506
3.9885,0.32466
4.0121,0.23862
6.0158,0.21414
6.0263,0.1197
7.9814,0.21692
8.005,0.12879
9.9972,0.16097
9.9962,0.12109
11.987,0.11339
12.012,0.075628
