x,y
0,0
0,0
0.44368,0
0.44368,0
0.89523,0
0.89523,0
2.0241,0.58667
2.0576,0.39262
4.0066,0.98915
3.9601,0.79775
5.9897,1.3754
5.9458,1.1113
7.9275,1.538
7.9645,1.2442
12.001,1.5317
11.93,1.2783
23.928,1.5476
23.936,1.3401
